Item ID	Item value	Change in Kuiper test statistic when item removed
CSRNP2	11.0	-0.005016722408026697
BMPR2	0.0	0.0059722885809843085
MAML2	21.0	0.005972288580984475
BRCA1	16.0	-0.005016722408026475
MED16	13.0	-0.005016722408026697
GABPB1	14.0	-0.005016722408026475
TNF	11.0	-0.005016722408026697
FLCN	10.0	0.0059722885809843085
DBP	13.0	-0.005016722408026697
GPER1	1.0	0.0059722885809843085
SALL4	3.0	0.005972288580984475
MYB	4.0	0.0059722885809843085
DPF3	20.0	0.005972288580984475
PKNOX1	13.0	-0.005016722408026697
JUNB	9.0	0.0059722885809843085
ZNF485	13.0	-0.005016722408026697
RBM14	14.0	-0.005016722408026475
KLF12	16.0	-0.005016722408026475
LMO4	11.0	-0.005016722408026697
ARID5A	12.0	-0.005016722408026697
PPP2R5B	12.0	-0.005016722408026697
RFX2	0.0	0.0059722885809843085
RFX3	23.0	0.005972288580984475
AR	14.0	-0.005016722408026475
MAF	0.0	0.0059722885809843085
ELF3	4.0	0.0059722885809843085
RFX5	12.0	-0.005016722408026697
ZNF438	13.0	-0.005016722408026697
IRF7	12.0	-0.005016722408026697
ZNF513	12.0	-0.005016722408026697
ZFPM2	20.0	0.005972288580984475
MET	13.0	-0.005016722408026697
ATF3	12.0	-0.005016722408026697
HDAC5	12.0	-0.005016722408026697
ZNF594	12.0	-0.005016722408026697
KDM3A	4.0	0.0059722885809843085
ZNF395	2.0	0.0059722885809843085
RNASEL	13.0	-0.005016722408026697
AKNA	15.0	-0.005016722408026586
SATB2	16.0	-0.005016722408026475
NOTCH4	16.0	-0.005016722408026475
NR1I3	16.0	-0.005016722408026475
MEPCE	10.0	0.0059722885809843085
ADRB2	16.0	-0.005016722408026475
PRDM10	17.0	0.005972288580984475
NPAS2	5.0	0.0059722885809843085
ARNTL	4.0	0.0059722885809843085
RXRB	11.0	-0.005016722408026697
BCLAF1	23.0	0.005972288580984475
ABLIM3	19.0	0.005972288580984475
SERTAD1	11.0	-0.005016722408026697
CAMTA1	14.0	-0.005016722408026475
CAMTA2	12.0	-0.005016722408026697
BRD8	12.0	-0.005016722408026697
TBL1X	16.0	-0.005016722408026475
TP53BP1	15.0	-0.005016722408026586
PPARGC1A	2.0	0.0059722885809843085
PPARGC1B	5.0	0.0059722885809843085
STOX1	3.0	0.005972288580984475
HES5	11.0	-0.005016722408026697
BRD4	24.0	0.005972288580984475
ZBED3	2.0	0.0059722885809843085
TBX1	3.0	0.005972288580984475
EGR1	8.0	0.0059722885809843085
ZNF143	14.0	-0.005016722408026475
IL33	15.0	-0.005016722408026586
TGFB1	7.0	0.0059722885809843085
AUTS2	2.0	0.0059722885809843085
HSPA5	1.0	0.0059722885809843085
NFYA	12.0	-0.005016722408026697
FZD5	4.0	0.0059722885809843085
LUM	22.0	0.005972288580984475
NFYB	12.0	-0.005016722408026697
ZBTB16	19.0	0.005972288580984475
IRX3	15.0	-0.005016722408026586
KLF4	22.0	0.005972288580984475
KLF2	13.0	-0.005016722408026697
ELL3	14.0	-0.005016722408026475
VEGFA	4.0	0.0059722885809843085
HEYL	15.0	-0.005016722408026586
PER1	17.0	0.005972288580984475
KLF7	16.0	-0.005016722408026475
RGCC	1.0	0.0059722885809843085
TFCP2	15.0	-0.005016722408026586
NR4A3	10.0	0.0059722885809843085
TEF	15.0	-0.005016722408026586
ZFAT	16.0	-0.005016722408026475
RFXAP	11.0	-0.005016722408026697
BCL3	7.0	0.0059722885809843085
NANOG	1.0	0.0059722885809843085
ZNF335	12.0	-0.005016722408026697
HOXD8	21.0	0.005972288580984475
